Anne & Mitja,annemitja@gmail.com,4,MG,,
Anta Agni,antaagni@gmail.com,9,MH,,
Barada Street,baradastreet@gmail.com,8,AT,,
Batucada Brass Hakuna Ma Samba,batucadabrasshakunamasamba@gmail.com,8,AT,,
Bence Sarkadi Theater of Marionettes ,bencesarkaditheaterofmarionettes@gmail.com,10,AT,,
Benni Green,bennigreen@gmail.com,7,AT,,
Bigolis Teatre,bigolisteatre@gmail.com,10,CZ,,
Blechsalat,blechsalat@gmail.com,8,AT,,
Box Actor Yaya,boxactoryaya@gmail.com,3,HU,,
Cia. ElOtro,cia.elotro@gmail.com,4,AT,,
Cia. Jean Philippe Kikolas,cia.jeanphilippekikolas@gmail.com,1,AT,,
Cia. Passabarret,cia.passabarret@gmail.com,4,AT,,
Cia. ZagreB,cia.zagreb@gmail.com,4,IT,,
circoPitanga,circopitanga@gmail.com,1,AT,,
Compagnie Antipodes,compagnieantipodes@gmail.com,1,SK,,
Compagnie MOBIL,compagniemobil@gmail.com,3,CH,,
DANCEproject,danceproject@gmail.com,4,AT,,
Derek Derek,derekderek@gmail.com,3,CZ,,
Die Buschs,diebuschs@gmail.com,3,AT,,
Dimitar and Tui (AiO Company),dimitarandtui@gmail.com,3,AT,,
Dj Capuzzi & Señorita X,djcapuzzisenoritax@gmail.com,4,ES,,
Dr. Bubbles & die Seifenblasenbande,dr.bubblesdieseifenblasenbande@gmail.com,11,DE,,
Duo Kate and Pasi,duokateandpasi@gmail.com,4,GB,,
Duo Looky,duolooky@gmail.com,4,IT,,
Duo Masawa,duomasawa@gmail.com,4,IT,,
Eco Commotion,ecocommotion@gmail.com,8,LU,,
Eddy Eighty,eddyeighty@gmail.com,3,LV,,
El Diabolero,eldiabolero@gmail.com,3,LY,,
Eric Tarantola,erictarantola@gmail.com,8,MA,,
Fausto Giori,faustogiori@gmail.com,6,MC,,
figurentheater (isipisi),figurentheaterisipisi@gmail.com,2,MD,,
folkshilfe,folkshilfe@gmail.com,8,ME,,
Grande Cantagiro Barattoli,grandecantagirobarattoli@gmail.com,8,AT,,
Herr Hundertpfund,herrhundertpfund@gmail.com,3,IE,,
Herr Konrad,herrkonrad@gmail.com,3,MK,,
Hint,hint@gmail.com,1,ML,,
Hipnopia & Migui Mandala Sol,hipnopiamiguimandalasol@gmail.com,4,MM,,
HoopStep,hoopstep@gmail.com,4,HK,,
Ian Deadly,iandeadly@gmail.com,3,HM,,
Kammann,kammann@gmail.com,3,HN,,
Kana,kana@gmail.com,3,HR,,
Katay Santos,kataysantos@gmail.com,4,HT,,
Kleines Grusel Gewusel,kleinesgruselgewusel@gmail.com,11,HU,,
La Trocola Circo,latrocolacirco@gmail.com,1,ID,,
Les Contes d'Asphalt,lescontesdasphalt@gmail.com,7,IE,,
Los Galindos,losgalindos@gmail.com,1,IL,,
Lucy Lou,lucylou@gmail.com,11,IM,,
Lumen Invoco,lumeninvoco@gmail.com,9,SK,,
Lutrek Statues & Clowns,lutrekstatuesclowns@gmail.com,7,PA,,
Mattress Circus,mattresscircus@gmail.com,4,PE,,
Maurangas,maurangas@gmail.com,3,PF,,
Mr. Mostacho,mr.mostacho@gmail.com,4,PG,,
Nanirossi,nanirossi@gmail.com,4,PH,,
OAKLEAF Stelzenkunst,oakleafstelzenkunst@gmail.com,7,PK,,
Ola Muchin,olamuchin@gmail.com,10,PL,,
Omnivolant,omnivolant@gmail.com,4,PA,,
Pallotto,pallotto@gmail.com,3,PE,,
Phoenix LED & Firedancers,phoenixledfiredancers@gmail.com,4,PF,,
Puppenbühne Burattino - Koffertheater,puppenbühneburattino-koffertheater@gmail.com,11,PG,,
Rafael Sorryso,rafaelsorryso@gmail.com,4,PH,,
Rewi & Mr Jeff,rewimrjeff@gmail.com,3,PK,,
Samuelito,samuelito@gmail.com,3,PL,,
Secret Circus,secretcircus@gmail.com,4,RO,,
Shining Shadows,shiningshadows@gmail.com,9,RS,,
The LEDies,theledies@gmail.com,7,RU,,
TheFREAKS Akrobatik-Showteam,thefreaksakrobatik-showteam@gmail.com,4,LY,,
TON,ton@gmail.com,7,MA,,
Trini-ty,trini-ty@gmail.com,3,MC,,
Urban Safari ,urbansafari@gmail.com,7,MD,,
Why Walk,whywalk@gmail.com,4,ME,,
Zirkus Gonzo,zirkusgonzo@gmail.com,5,SK,,
Zirkus Morsa,zirkusmorsa@gmail.com,4,CH,,
